Datetime,City,Latitude,Longitude,Temperature,Humidity %,Cloud Coverage %,Wind Speed
12/09/2017,Lerwick,60.15,-1.15,34.7,59,44,21.92
12/09/2017,Port Elizabeth,-33.92,25.57,69.8,77,40,42.5
12/09/2017,Machinga,-15.17,35.3,71.6,83,75,6.93
12/09/2017,Paramirim,-13.44,-42.24,67.66,98,88,5.28
12/09/2017,Adrar,27.87,-0.29,41.0,92,0,6.93
12/09/2017,Naze,28.37,129.48,59.0,62,75,10.29
12/09/2017,Kerman,30.28,57.08,44.6,30,0,3.87
12/09/2017,La Paz,-16.5,-68.15,42.8,81,75,4.7
12/09/2017,Terra Roxa,-23.86,-50.03,63.75,94,32,5.73
12/09/2017,Belle Glade,26.68,-80.67,75.2,94,40,9.17
12/09/2017,Bar-le-Duc,48.78,5.17,31.03,98,90,3.36
12/09/2017,Carnarvon,-24.87,113.63,79.09,82,8,14.05
12/09/2017,Takoradi,4.88,-1.76,77.74,100,24,7.07
12/09/2017,Oda,35.18,132.5,44.6,100,75,4.7
12/09/2017,Mudbidri,13.08,74.98,87.8,62,40,6.93
12/09/2017,Manokwari,-0.87,134.08,80.67,100,88,3.76
12/09/2017,Buala,-8.14,159.59,85.84,81,100,7.74
12/09/2017,Sahuaripa,29.05,-109.23,51.01,29,0,4.76
12/09/2017,Kieta,-6.22,155.63,78.91,100,92,4.61
12/09/2017,Saldanha,-33.01,17.94,71.6,56,0,20.8
12/09/2017,Norman Wells,65.28,-126.83,17.6,92,75,2.24
12/09/2017,Mirnyy,62.54,113.96,-23.24,68,36,4.76
12/09/2017,Guilin,25.28,110.29,62.6,25,0,4.47
12/09/2017,Portland,45.52,-122.68,32.23,69,1,8.05
12/09/2017,Vardo,70.37,31.11,29.73,100,80,27.36
12/09/2017,Vieste,41.88,16.18,56.01,100,56,21.43
12/09/2017,Saint-Pierre,-21.34,55.48,80.15,54,8,9.17
12/09/2017,Rawson,-43.3,-65.1,63.39,64,8,17.81
12/09/2017,Akropong,5.97,-0.09,77.0,83,0,10.29
12/09/2017,Mount Isa,-20.73,139.5,102.2,12,0,13.87
12/09/2017,Bonavista,48.65,-53.11,32.52,100,76,15.35
12/09/2017,Cataingan,12.0,123.99,84.54,97,24,7.0
12/09/2017,Winkler,49.18,-97.94,19.4,79,1,13.87
12/09/2017,Misratah,32.38,15.09,50.16,100,8,7.63
12/09/2017,Nemuro,43.32,145.57,21.2,53,20,5.82
12/09/2017,Abeche,13.83,20.83,65.28,32,8,14.94
12/09/2017,Dunedin,-45.87,170.5,73.51,48,88,8.23
12/09/2017,Katy,29.79,-95.82,31.8,100,1,3.49
12/09/2017,Tarbagatay,51.48,107.36,15.8,61,75,22.37
12/09/2017,Inirida,3.87,-67.92,75.76,90,44,2.48
12/09/2017,Wabana,47.63,-52.95,32.0,100,75,10.29
12/09/2017,Zeya,53.75,127.27,-16.04,67,36,2.86
12/09/2017,Boyolangu,-8.12,111.89,84.45,93,8,9.91
12/09/2017,Opuwo,-18.06,13.84,65.68,88,12,5.5
12/09/2017,Caravelas,-17.71,-39.25,75.58,100,92,25.41
12/09/2017,Sao Joao da Barra,-21.64,-41.05,72.79,100,88,19.19
12/09/2017,Izhma,65.01,53.91,15.42,91,68,2.82
12/09/2017,Nago,26.59,127.98,63.43,52,90,10.29
12/09/2017,Zipaquira,5.02,-74.0,51.8,93,75,1.48
12/09/2017,Batemans Bay,-35.72,150.18,72.93,63,24,4.32
