,timestamp,source,tweets ago,tweet text,compound score,positive score,negative score,neutral score
45,Sat Jan 20 08:36:20 +0000 2018,@BBCworld,45,"RT @BBCSport: Christian Coleman has broken the 60m indoor world record.

It was 17 years old ⚡

More: https://t.co/MioIoFQoom https://t.co/…",-0.4767,0.0,0.147,0.853
46,Sat Jan 20 05:06:27 +0000 2018,@BBCworld,46,US shutdown begins as Senate fails to pass new budget https://t.co/NUe0i4f46p,-0.4215,0.0,0.219,0.781
47,Sat Jan 20 02:21:03 +0000 2018,@BBCworld,47,Huge Brazil rubbish dump closes after six decades https://t.co/RVDtR0mCzR,-0.0772,0.193,0.218,0.588
48,Sat Jan 20 01:17:30 +0000 2018,@BBCworld,48,Lac-Megantic: The runaway train that destroyed a town https://t.co/hNo7Bk0qBe,-0.4939,0.0,0.314,0.686
49,Sat Jan 20 01:17:27 +0000 2018,@BBCworld,49,How can parents torture their children? https://t.co/basHomJMGs,-0.5994,0.0,0.394,0.606
50,Sat Jan 20 01:13:42 +0000 2018,@BBCworld,50,US musician Tom Petty died of 'accidental drug overdose' https://t.co/Kpb5OtIgsF,-0.6908,0.0,0.489,0.511
51,Sat Jan 20 01:03:03 +0000 2018,@BBCworld,51,"Donald Trump won 42% of the female vote in the 2016 US election.
Now, the president's approval rating among women i… https://t.co/PNVpQ5CanB",0.7783,0.254,0.0,0.746
52,Sat Jan 20 00:29:13 +0000 2018,@BBCworld,52,New Zealand debates access to dead sea life footage https://t.co/ib2vOSeJUO,-0.6486,0.0,0.323,0.677
53,Sat Jan 20 00:22:18 +0000 2018,@BBCworld,53,France: Emmanuel Macron’s marvellous manoeuvres this week https://t.co/zxKptoiHqL,0.0,0.0,0.0,1.0
54,Sat Jan 20 00:20:01 +0000 2018,@BBCworld,54,"Is the Women's March from 2017 the same marches we'll see in 2018? 
What's happened to the movement in one year?… https://t.co/tKXhOii3CV",0.0,0.0,0.0,1.0
55,Fri Jan 19 22:47:47 +0000 2018,@BBCworld,55,Trump travel ban: Supreme Court to rule on legality https://t.co/8V753mcJQQ,0.0,0.237,0.237,0.526
56,Fri Jan 19 22:28:55 +0000 2018,@BBCworld,56,Trump vows abortion opposition in speech to March for Life https://t.co/yHyNjK2hf1,0.0,0.0,0.0,1.0
57,Fri Jan 19 22:03:52 +0000 2018,@BBCworld,57,The Bollywood film breaking the taboo around periods https://t.co/04DR0Rug4L,0.0,0.0,0.0,1.0
58,Fri Jan 19 22:03:36 +0000 2018,@BBCworld,58,"Women's march: Where, when and why will protests happen? https://t.co/FXcNhFEvHZ",-0.2263,0.0,0.174,0.826
59,Fri Jan 19 22:00:39 +0000 2018,@BBCworld,59,The man risking his life to save pink dolphins https://t.co/zdJMMOoD8C,0.2263,0.237,0.17,0.593
60,Fri Jan 19 21:56:39 +0000 2018,@BBCworld,60,Pope sends gift to woman thrown from horse https://t.co/PXXWmAKwyG,0.4404,0.266,0.0,0.734
61,Fri Jan 19 21:47:51 +0000 2018,@BBCworld,61,"Pope sends gift to woman thrown from horse 
https://t.co/FWBPiGLfvR",0.4404,0.266,0.0,0.734
62,Fri Jan 19 21:46:43 +0000 2018,@BBCworld,62,Pope Francis warns of threat to Amazon peoples on Peru visit https://t.co/ur6uErJKUK,-0.4767,0.11,0.31,0.581
63,Fri Jan 19 21:04:26 +0000 2018,@BBCworld,63,"Colombia says 550,000 Venezuelans have fled to the country https://t.co/GM8VDGnf52",0.0,0.0,0.0,1.0
64,Fri Jan 19 20:36:50 +0000 2018,@BBCworld,64,Las Vegas shooting: Police say gunman's girlfriend won't face charges https://t.co/QvLkmUuh0h,0.2057,0.154,0.0,0.846
65,Fri Jan 19 20:34:31 +0000 2018,@BBCworld,65,"RT @BBCNewsNI: Irish Prime Minister Leo Varadkar said he expected the wording of the referendum on the 8th amendment to be made public ""in…",0.0,0.0,0.0,1.0
66,Fri Jan 19 20:02:55 +0000 2018,@BBCworld,66,Chicago West: Kim Kardashian West and Kanye West name daughter https://t.co/FdDrs1ITZm,0.0,0.0,0.0,1.0
67,Fri Jan 19 19:53:38 +0000 2018,@BBCworld,67,"The future of high-speed travel? 

https://t.co/Q3OOnLvX5H https://t.co/wmHAZGnYlU",0.0,0.0,0.0,1.0
68,Fri Jan 19 19:53:12 +0000 2018,@BBCworld,68,Workers cleared over Canada rail disaster https://t.co/kt8TNzdhIw,-0.5719,0.133,0.39,0.476
69,Fri Jan 19 19:38:30 +0000 2018,@BBCworld,69,RT @BBCNorthAmerica: Las Vegas shooting: Police say gunman's girlfriend won't face charges https://t.co/YhKvAFI58n,0.2057,0.131,0.0,0.869
70,Fri Jan 19 19:02:22 +0000 2018,@BBCworld,70,Larry Nassar case: Olympic champ Jordyn Wieber reveals abuse https://t.co/brtAkm1l3p,-0.2732,0.203,0.275,0.523
71,Fri Jan 19 18:58:26 +0000 2018,@BBCworld,71,Gold medallists Aly Raisman and Jordyn Wieber face abuser https://t.co/uvJFwHxs0J,-0.5574,0.0,0.286,0.714
72,Fri Jan 19 17:37:23 +0000 2018,@BBCworld,72,Philippines stops sending workers to Kuwait over abuse fears https://t.co/VukKEG4kaT,-0.8225,0.0,0.551,0.449
73,Fri Jan 19 17:14:57 +0000 2018,@BBCworld,73,RT @BBCBusiness: Coca-Cola pledges to recycle all packaging by 2030 https://t.co/pLRSb3fq5f,0.0,0.0,0.0,1.0
74,Fri Jan 19 16:45:58 +0000 2018,@BBCworld,74,"""I think there are some ironies to point out..."" White House Director of Legislative Affairs, Marc Short, quotes Na… https://t.co/cOQayHgAPo",0.0,0.0,0.0,1.0
75,Fri Jan 19 16:43:53 +0000 2018,@BBCworld,75,Kenya investigates 'sex attacks' on new mothers at hospital https://t.co/o34HhYr9KN,-0.4404,0.0,0.244,0.756
76,Fri Jan 19 16:34:41 +0000 2018,@BBCworld,76,"""It is frustrating to all of us that we are in this position,"" says White House Director of Legislative Affairs, as… https://t.co/MABEGfFkXK",-0.4404,0.0,0.121,0.879
77,Fri Jan 19 16:27:42 +0000 2018,@BBCworld,77,Czech PM Andrej Babis stripped of immunity amid fraud claims https://t.co/aOFJuOaVl7,-0.5859,0.0,0.275,0.725
78,Fri Jan 19 16:15:37 +0000 2018,@BBCworld,78,Nasa removes US astronaut from ISS mission https://t.co/DO5fyKQPbW,0.0,0.0,0.0,1.0
79,Fri Jan 19 15:59:50 +0000 2018,@BBCworld,79,Mattis: US national security focus no longer terrorism https://t.co/9hwgWHnlW5,-0.6597,0.158,0.447,0.395
80,Fri Jan 19 15:32:04 +0000 2018,@BBCworld,80,Russian President Vladimir Putin plunges into icy water to mark Epiphany https://t.co/yinB6Bag8P,0.0,0.0,0.0,1.0
81,Fri Jan 19 15:14:13 +0000 2018,@BBCworld,81,Russian social media defends air cadets dancing in underwear https://t.co/oH0nDh6vBe,0.0,0.0,0.0,1.0
82,Fri Jan 19 15:14:13 +0000 2018,@BBCworld,82,Crocodile found in weapons raid https://t.co/wFuchiLgan,-0.4404,0.0,0.367,0.633
83,Fri Jan 19 14:55:24 +0000 2018,@BBCworld,83,Smiling Macron and May pose for selfie https://t.co/2qp4hFR5Z0,0.4588,0.3,0.0,0.7
84,Fri Jan 19 14:55:24 +0000 2018,@BBCworld,84,US shutdown: Senate bill on verge of collapse amid rancour https://t.co/JoHC7SHH2S,-0.4939,0.0,0.242,0.758
85,Fri Jan 19 14:36:51 +0000 2018,@BBCworld,85,"RT @BBCNews: 'Extreme kayaker' sets 128ft waterfall record 😮

Just incredible! https://t.co/5Sy3gbaAAR",0.0,0.0,0.0,1.0
86,Fri Jan 19 14:11:12 +0000 2018,@BBCworld,86,Data-stealing spyware 'traced to Lebanon' https://t.co/vM3MJE5gz5,0.0,0.0,0.0,1.0
87,Fri Jan 19 13:26:17 +0000 2018,@BBCworld,87,President Putin takes a dip into icy water https://t.co/vHGdVfKIyQ,0.0,0.0,0.0,1.0
88,Fri Jan 19 12:59:55 +0000 2018,@BBCworld,88,Turkey steps up Syria shelling as invasion of Afrin looms https://t.co/LcFIAYfxpU,-0.1531,0.0,0.138,0.862
89,Fri Jan 19 12:34:06 +0000 2018,@BBCworld,89,British 'extreme kayaker' sets 128ft waterfall record https://t.co/tM3tp0G5IB,0.0,0.0,0.0,1.0
90,Fri Jan 19 11:55:48 +0000 2018,@BBCworld,90,Pope Francis 'slander' comment angers Chile abuse victims https://t.co/FMOymysP23,-0.8689,0.0,0.62,0.38
91,Fri Jan 19 11:41:59 +0000 2018,@BBCworld,91,Michael Douglas: Former employee accuses actor of sexual harassment https://t.co/SHfYdzNP9F,-0.7096,0.0,0.424,0.576
92,Fri Jan 19 11:39:58 +0000 2018,@BBCworld,92,"RT @bbctennis: Game set and match 💪

Kyrgios is through to the Aussie Open fourth round after beating Tsonga 7-6 (7-5) 4-6 7-6 (8-6) 7-6 (7…",-0.4588,0.0,0.111,0.889
93,Fri Jan 19 11:09:43 +0000 2018,@BBCworld,93,Pakistan Zainab murder: DNA suggests suspect in other case was 'innocent' https://t.co/PSqsP3jREa,-0.7845,0.0,0.408,0.592
94,Fri Jan 19 11:09:43 +0000 2018,@BBCworld,94,Fake-bomb TV crew held at New Jersey airport https://t.co/t17ynz6Ve4,0.0,0.0,0.0,1.0
95,Fri Jan 19 10:33:43 +0000 2018,@BBCworld,95,Europe storm: Germany in huge clean-up as trains run again https://t.co/J0Dvwj22fU,0.3182,0.187,0.0,0.813
96,Fri Jan 19 10:30:15 +0000 2018,@BBCworld,96,Yu Wensheng: China human rights lawyer arrested on school run https://t.co/ehmjjn6bW8,-0.4767,0.0,0.237,0.763
97,Fri Jan 19 10:12:30 +0000 2018,@BBCworld,97,South Korea to reward 'dogparazzi' informers https://t.co/EyIrdIMIGh,0.5719,0.381,0.0,0.619
98,Fri Jan 19 10:08:38 +0000 2018,@BBCworld,98,Patricia Dagorn: France's 'Black Widow' jailed for poisonings https://t.co/nhamoSrcro,-0.765,0.0,0.485,0.515
99,Fri Jan 19 09:45:31 +0000 2018,@BBCworld,99,"RT @BBCSteveR: One Russian paper today predicts ""increased repression &amp; isolationism"" in Vladimir Putin's next Kremlin term; another claims…",-0.0258,0.158,0.118,0.724
100,Sat Jan 20 20:50:01 +0000 2018,@CBSnews,0,"Commentary: Why this is the ""Trump shutdown"" https://t.co/C4R9kFqh4v https://t.co/C4ASgrmOGl",0.0,0.0,0.0,1.0
101,Sat Jan 20 20:30:37 +0000 2018,@CBSnews,1,"One year after President Trump's inauguration, the #WomensMarch is returning to the streets -- and aiming to become… https://t.co/KWdTINhZk6",0.0,0.0,0.0,1.0
102,Sat Jan 20 20:14:06 +0000 2018,@CBSnews,2,"""We need more time [to negotiate DACA] and that should not be used to put the country through this shutdown,"" Rep.… https://t.co/54wKUWS3Yu",0.0,0.0,0.0,1.0
103,Sat Jan 20 20:03:47 +0000 2018,@CBSnews,3,"WATCH LIVE: House Republicans are speaking on Capitol Hill, after OMB Director Mick Mulvaney briefed reporters on t… https://t.co/YVgIzOfajL",0.0,0.0,0.0,1.0
